                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                0.84583,                 1.3441,                 1.0558,                0.78086,                0.81651,                0.83688,                0.50607,                 1.3899,                 1.3518,                 1.3074,               0.001387,               0.001387,               0.001387
                     89,                0.81318,                0.76889,                0.94119,                0.78153,                0.81826,                0.83688,                0.49639,                 1.3601,                 1.3441,                 1.2954,               0.001288,               0.001288,               0.001288
                     90,                 0.9866,                 1.2753,                0.95773,                0.78295,                0.81826,                0.83688,                0.51561,                 1.3798,                  1.353,                 1.3066,               0.001189,               0.001189,               0.001189
                     91,                 1.1103,                 1.0469,                 1.0432,                0.78233,                 0.8178,                0.84571,                0.50652,                 1.4012,                 1.3147,                    1.3,                0.00109,                0.00109,                0.00109
                     92,                0.85701,                 1.3588,                0.96922,                0.78233,                 0.8178,                0.84571,                0.50652,                 1.4012,                 1.3147,                    1.3,               0.000991,               0.000991,               0.000991
                     93,                0.83022,                 1.0759,                  0.903,                0.78023,                0.82852,                  0.874,                0.51813,                 1.4505,                 1.3142,                 1.3335,               0.000892,               0.000892,               0.000892
                     94,                0.87359,                0.96847,                 0.9666,                 0.7765,                0.81835,                 0.9125,                0.52483,                 1.4781,                 1.3283,                 1.3393,               0.000793,               0.000793,               0.000793
                     95,                0.86483,                0.84063,                0.89776,                0.77666,                0.82162,                 0.9125,                0.50835,                 1.4746,                 1.3555,                 1.3457,               0.000694,               0.000694,               0.000694
                     96,                0.87261,                0.88989,                 1.0036,                0.77666,                0.82162,                 0.9125,                0.50835,                 1.4746,                 1.3555,                 1.3457,               0.000595,               0.000595,               0.000595
                     97,                0.87991,                0.95477,                  1.012,                0.77703,                0.82407,                 0.9125,                0.52456,                 1.4892,                 1.3636,                 1.3616,               0.000496,               0.000496,               0.000496
                     98,                0.78213,                 1.2555,                0.88988,                0.77982,                 0.8307,                 0.9125,                0.51841,                 1.4912,                 1.3745,                  1.372,               0.000397,               0.000397,               0.000397
                     99,                0.93642,                 1.2199,                0.95047,                0.78026,                0.83345,                 0.9125,                0.52002,                 1.5023,                 1.3655,                 1.3764,               0.000298,               0.000298,               0.000298
